 0.01969  0.00617 -152.25199 -0.01908  0.00004  0.00617
 0.09218  0.00647 -144.80967  0.05346  0.00004  0.00647
 0.15782  0.00674 -137.38827  0.11934  0.00004  0.00674
 0.21729  0.00698 -130.14878  0.17918  0.00004  0.00698
 0.27120  0.00719 -123.18817  0.23356  0.00004  0.00719
 0.32013  0.00738 -116.56081  0.28303  0.00004  0.00738
 0.42402  0.00778 -101.57848  0.38845  0.00004  0.00778
 0.50678  0.00810 -88.81734  0.47285  0.00004  0.00810
 0.57349  0.00835 -78.03520  0.54120  0.00005  0.00835
 0.62789  0.00856 -68.93237  0.59718  0.00005  0.00856
 0.67275  0.00872 -61.22612  0.64352  0.00005  0.00872
 0.71012  0.00886 -54.67284  0.68227  0.00005  0.00886
 0.74154  0.00898 -49.07050  0.71499  0.00005  0.00898
 0.76819  0.00908 -44.25431  0.74283  0.00005  0.00908
 0.79097  0.00916 -40.09068  0.76673  0.00005  0.00916
 0.81060  0.00924 -36.47143  0.78738  0.00005  0.00924
 0.84245  0.00936 -30.53123  0.82107  0.00005  0.00936
 0.86695  0.00945 -25.90770  0.84716  0.00005  0.00945
 0.88619  0.00952 -22.24537  0.86778  0.00005  0.00952
 0.90156  0.00958 -19.29892  0.88436  0.00005  0.00958
 0.91402  0.00963 -16.89541  0.89789  0.00005  0.00963
 0.92428  0.00967 -14.91053  0.90909  0.00005  0.00967
 0.93280  0.00970 -13.25325  0.91846  0.00005  0.00970
 0.93997  0.00973 -11.85579  0.92639  0.00005  0.00973
 0.94605  0.00975 -10.66691  0.93315  0.00005  0.00975
 0.95126  0.00977 -9.64731  0.93898  0.00005  0.00977
 0.95965  0.00981 -8.00048  0.94844  0.00005  0.00981
 0.96604  0.00983 -6.74051  0.95575  0.00005  0.00983
 0.97104  0.00986 -5.75546  0.96151  0.00005  0.00986
 0.97500  0.00987 -4.97101  0.96614  0.00005  0.00987
 0.97821  0.00989 -4.33630  0.96993  0.00005  0.00989
 0.98084  0.00990 -3.81559  0.97306  0.00005  0.00990
 0.98301  0.00991 -3.38316  0.97569  0.00005  0.00991
 0.98484  0.00991 -3.02018  0.97792  0.00005  0.00991
 0.98639  0.00992 -2.71254  0.97983  0.00005  0.00992
 0.98771  0.00993 -2.44956  0.98148  0.00005  0.00993
 0.98885  0.00993 -2.22301  0.98291  0.00005  0.00993
 0.98984  0.00994 -2.02646  0.98416  0.00005  0.00994
 0.99070  0.00994 -1.85484  0.98527  0.00005  0.00994
 0.99146  0.00995 -1.70412  0.98625  0.00005  0.00995
 0.99213  0.00995 -1.57103  0.98713  0.00005  0.00995
 0.99349  0.00996 -1.29926  0.98894  0.00005  0.00996
 0.99453  0.00996 -1.09233  0.99036  0.00005  0.00996
 0.99534  0.00997 -0.93114  0.99148  0.00005  0.00997
 0.99598  0.00997 -0.80316  0.99240  0.00005  0.00997
 0.99650  0.00997 -0.69984  0.99316  0.00005  0.00997
 0.99692  0.00997 -0.61525  0.99379  0.00005  0.00997
 0.99727  0.00998 -0.54511  0.99432  0.00005  0.00998
 0.99757  0.00998 -0.48631  0.99478  0.00005  0.00998
 0.99782  0.00998 -0.43654  0.99518  0.00005  0.00998
 0.99803  0.00998 -0.39403  0.99552  0.00005  0.00998
 0.99837  0.00998 -0.32572  0.99609  0.00005  0.00998
 0.99863  0.00998 -0.27374  0.99654  0.00005  0.00998
 0.99883  0.00999 -0.23328  0.99690  0.00005  0.00999
 0.99899  0.00999 -0.20117  0.99720  0.00005  0.00999
 0.99912  0.00999 -0.17526  0.99745  0.00005  0.00999
 0.99923  0.00999 -0.15405  0.99766  0.00005  0.00999
 0.99932  0.00999 -0.13647  0.99784  0.00005  0.00999
 0.99939  0.00999 -0.12174  0.99800  0.00005  0.00999
 0.99945  0.00999 -0.10927  0.99813  0.00005  0.00999
 0.99951  0.00999 -0.09862  0.99825  0.00005  0.00999
 0.99959  0.00999 -0.08151  0.99845  0.00005  0.00999
 0.99966  0.00999 -0.06850  0.99861  0.00005  0.00999
 0.99971  0.00999 -0.05837  0.99874  0.00005  0.00999
 0.99975  0.00999 -0.05033  0.99885  0.00005  0.00999
 0.99978  0.01000 -0.04384  0.99894  0.00005  0.01000
 0.99981  0.01000 -0.03854  0.99902  0.00005  0.01000
 0.99983  0.01000 -0.03414  0.99909  0.00005  0.01000
 0.99985  0.01000 -0.03045  0.99915  0.00005  0.01000
 0.99986  0.01000 -0.02733  0.99920  0.00005  0.01000
 0.99988  0.01000 -0.02467  0.99925  0.00005  0.01000
 0.99989  0.01000 -0.02237  0.99929  0.00005  0.01000
 0.99990  0.01000 -0.02039  0.99933  0.00005  0.01000
 0.99991  0.01000 -0.01865  0.99936  0.00005  0.01000
 0.99991  0.01000 -0.01713  0.99939  0.00005  0.01000
 0.99992  0.01000 -0.01579  0.99942  0.00005  0.01000
 0.99993  0.01000 -0.01305  0.99948  0.00005  0.01000
 0.99995  0.01000 -0.01096  0.99953  0.00005  0.01000
 0.99995  0.01000 -0.00934  0.99957  0.00005  0.01000
